name;price;page;quantity;unit;unit_price;type;is_outlier;brand
Douwe Egberts MildcafA(c) Filterkoffie 250 g;4.99;13.0;250.0;g;0.01996;filter;False;douwe egberts
Douwe Egberts Excellent Blonde Koffiebonen 500 g;10.99;14.0;500.0;g;0.02198;beans;False;douwe egberts
Jumbos Koffiepads Dark Roast 36 Stuks;4.99;14.0;36.0;st;0.0198015873015873;pads;False;jumbo
Lavazza lavazza Oro gemalen / filterkoffie 250 g;7.59;14.0;250.0;g;0.0303599999999999;ground;False;lavazza
Jumbos CafA(c) au Lait Koffiecups 16 Stuks;4.69;14.0;16.0;st;0.041875;cups;False;jumbo
NescafA(c) 3in1 Oploskoffie 8 x 10 Stuks;22.32;14.0;80.0;st;0.0398571428571428;instant;False;nescafe
Segafredo Zanetti Selezione Espresso Koffiebonen 500 g;10.99;15.0;500.0;g;0.02198;beans;False;segafredo
Melitta Original Koffiefilters 1x4 Bruin 80 stuks;2.62;15.0;80.0;st;0.0046785714285714;filter;False;melitta
Jumbos Espresso Koffiecups 16 Stuks;4.25;15.0;16.0;st;0.0379464285714285;cups;False;jumbo
Lavazza Espresso Italiano Classico gemalen / filterkoffie 250 g;6.39;15.0;250.0;g;0.02556;ground;False;lavazza
Melitta Original koffiefilters 1x6 Bruin 40 stuks;1.59;15.0;40.0;st;0.0056785714285714;filter;False;melitta
Jumbos Lungo Intenso Koffiecups 16 Stuks;4.69;15.0;16.0;st;0.041875;cups;False;jumbo
Douwe Egberts DA(c)cafA(c) Filterkoffie 250 g;4.99;15.0;250.0;g;0.01996;filter;False;douwe egberts
Jumbo Biologisch Medium Gebrande Koffiepads 36 Stuks;3.99;16.0;36.0;st;0.0158333333333333;pads;False;jumbo
LOR Espresso Origins Brazil Koffiebonen 500 g;11.99;16.0;500.0;g;0.02398;beans;False;lor
LOR Espresso Origins Colombia Koffiebonen 500 g;11.99;16.0;500.0;g;0.02398;beans;False;lor
Kanis & Gunnink CafeA-nevrije Koffiepads 36 Stuks;4.79;16.0;36.0;st;0.0190079365079365;pads;False;kanis en gunnink
"Lavazza CaffA"" Dek Classico (decaf) gemalen / filterkoffie 250 g";5.99;16.0;250.0;g;0.02396;ground;False;lavazza
StarbucksA(r) BlondeA(r) Espresso Roast koffiebonen 450 gram;12.69;16.0;450.0;g;0.0282;beans;False;starbucks
Senseo Mild Coffee Pads 36 Stuks 250 g;6.29;17.0;36.0;st;0.0249603174603174;pads;False;senseo
Senseo Italian Style Forte Coffee Pads Gemalen Koffie 36 Stuks 250 g;6.59;17.0;36.0;st;0.0261507936507936;ground;False;senseo
Douwe Egberts Verwenkoffie Cappuccino oploskoffie 10 stuks;3.09;17.0;10.0;st;0.0441428571428571;instant;False;douwe egberts
Douwe Egberts Espresso Sticks Oploskoffie 25 Stuks;3.09;18.0;25.0;st;0.0176571428571428;instant;False;douwe egberts
StarbucksA(r) Espresso Dark Roast koffiebonen 450 gram;12.69;18.0;450.0;g;0.0282;beans;False;starbucks
Jumbos Koffiepads Mild 36 Stuks;4.99;18.0;36.0;st;0.0198015873015873;pads;False;jumbo
